pays,nombre
France,1243
Royaume-Uni,444
États-Unis,356
Belgique,65
Allemagne,44
Canada,44
Suisse,42
Pays-Bas,30
Espagne,28
Italie,23
Brésil,23
Norvège,19
Russie,19
Finlande,16
Irlande,16
Japon,15
Afrique du Sud,14
Mexique,14
Suède,14
Danemark,13
Autriche,12
France (Réunion),12
Colombie,10
Australie,9
Israël,8
Argentine,8
Chine,8
Corée du Sud,8
Islande,7
Mali,7
Jamaïque,7
Inde,6
Sénégal,6
Portugal,6
Nouvelle-Zélande,6
Maroc,5
Algérie,5
Turquie,5
Trinidad & Tobago,4
Serbie,4
République Tchèque,4
Madagascar,4
Roumanie,4
Sierra Leone,3
Hongrie,3
Égypte,3
Nigéria,3
Pologne,3
Grèce,3
Congo,2
Slovénie,2
Ghana,2
Cameroun,2
Palestine,2
Ethiopie,2
Lituanie,2
Iles Féroé,2
Ouganda,2
Soudan,2
Ecosse,2
Arménie,2
Angola,2
Uruguay,1
Yougoslavie,1
Haïti,1
Zimbabwé,1
Bhoutan,1
Samoa,1
Barbades,1
Liban,1
République Dominicaine,1
Bélize,1
Pakistan,1
République de Tuva,1
Côte d'Ivoire,1
Cuba,1
Niger,1
Luxembourg,1
Republique Centrafricaine,1
Malte,1
Lettonie,1
Bulgarie,1
Slovaquie,1
Chypre,1
Irak,1
Malawi,1
Cambodge,1
Venezuela,1
Zambie,1
Ukraine,1
Togo,1
Pérou,1
Yémen,1
Thaïlande,1
Tunisie,1
Estonie,1
Burkina Faso,1
Iran,1
République Démocratique du Congo,1
Indonésie,1
Bahreïn,1
Syrie,1
Maurice,1
Kenya,1
Lesotho,1
Chili,1
,0